Date,SO2 µg/m3,Nox µg/m3,RSPM µg/m3,SPM,CO2 µg/m3,AQI,Location
2009-01-01 00:00:00,15,53,179.0,,,153.0,MPCB-KR
2009-02-01 00:00:00,15,48,156.0,,,137.0,MPCB-KR
2009-03-01 00:00:00,13,51,164.0,,,143.0,MPCB-KR
2009-04-01 00:00:00,8,37,135.0,,,123.0,MPCB-KR
2009-07-01 00:00:00,13,36,140.0,,,127.0,MPCB-KR
2009-08-01 00:00:00,10,30,135.0,,,123.0,MPCB-KR
2009-10-01 00:00:00,14,56,146.0,,,131.0,MPCB-KR
2009-11-01 00:00:00,14,47,136.0,,,124.0,MPCB-KR
2009-12-01 00:00:00,13,36,115.0,,,110.0,MPCB-KR
13-01-2009,19,69,164.0,,,143.0,MPCB-KR
14-01-2009,25,67,164.0,,,143.0,MPCB-KR
15-01-2009,23,65,182.0,,,155.0,MPCB-KR
16-01-2009,23,68,159.0,,,139.0,MPCB-KR
17-01-2009,16,41,161.0,,,141.0,MPCB-KR
18-01-2009,16,40,168.0,,,145.0,MPCB-KR
19-01-2009,22,68,190.0,,,160.0,MPCB-KR
20-01-2009,20,61,194.0,,,163.0,MPCB-KR
21-01-2009,20,61,191.0,,,161.0,MPCB-KR
22-01-2009,21,67,179.0,,,153.0,MPCB-KR
23-01-2009,21,71,195.0,,,163.0,MPCB-KR
24-01-2009,23,65,212.0,,,175.0,MPCB-KR
25-01-2009,25,35,168.0,,,145.0,MPCB-KR
26-01-2009,26,27,167.0,,,145.0,MPCB-KR
27-01-2009,24,40,162.0,,,141.0,MPCB-KR
29-01-2009,BDL - NA,30,174.0,,,149.0,MPCB-KR
30-01-2009,BDL - NA,30,200.0,,,167.0,MPCB-KR
2009-01-02 00:00:00,BDL - NA,16,140.0,,,127.0,MPCB-KR
2009-02-02 00:00:00,BDL - NA,20,133.0,,,122.0,MPCB-KR
2009-03-02 00:00:00,BDL - NA,17,128.0,,,119.0,MPCB-KR
2009-04-02 00:00:00,BDL - NA,18,141.0,,,127.0,MPCB-KR
2009-05-02 00:00:00,BDL - NA,18,136.0,,,124.0,MPCB-KR
2009-06-02 00:00:00,15,30,156.0,,,137.0,MPCB-KR
2009-07-02 00:00:00,13,41,181.0,,,154.0,MPCB-KR
2009-08-02 00:00:00,8,34,182.0,,,155.0,MPCB-KR
2009-09-02 00:00:00,12,23,169.0,,,146.0,MPCB-KR
2009-10-02 00:00:00,9,20,158.0,,,139.0,MPCB-KR
2009-11-02 00:00:00,10,19,146.0,,,131.0,MPCB-KR
2009-12-02 00:00:00,10,26,151.0,,,134.0,MPCB-KR
13-02-2009,10,16,123.0,,,115.0,MPCB-KR
14-02-2009,19,18,129.0,,,119.0,MPCB-KR
15-02-2009,21,32,155.0,,,137.0,MPCB-KR
16-02-2009,25,55,176.0,,,151.0,MPCB-KR
17-02-2009,22,31,189.0,,,159.0,MPCB-KR
18-02-2009,18,22,155.0,,,137.0,MPCB-KR
19-02-2009,21,43,162.0,,,141.0,MPCB-KR
20-02-2009,23,29,172.0,,,148.0,MPCB-KR
21-02-2009,25,39,187.0,,,158.0,MPCB-KR
22-02-2009,17,22,145.0,,,130.0,MPCB-KR
23-02-2009,19,23,132.0,,,121.0,MPCB-KR
24-02-2009,17,15,136.0,,,124.0,MPCB-KR
25-02-2009,18,27,135.0,,,123.0,MPCB-KR
26-02-2009,25,153,184.0,,,173.0,MPCB-KR
27-02-2009,23,38,167.0,,,145.0,MPCB-KR
2009-03-03 00:00:00,25,32,163.0,,,142.0,MPCB-KR
2009-04-03 00:00:00,23,24,148.0,,,132.0,MPCB-KR
2009-05-03 00:00:00,22,21,159.0,,,139.0,MPCB-KR
2009-06-03 00:00:00,24,25,190.0,,,160.0,MPCB-KR
2009-07-03 00:00:00,21,27,184.0,,,156.0,MPCB-KR
2009-08-03 00:00:00,24,22,174.0,,,149.0,MPCB-KR
2009-10-03 00:00:00,23,24,174.0,,,149.0,MPCB-KR
2009-11-03 00:00:00,21,22,106.0,,,104.0,MPCB-KR
13-03-2009,19,21,122.0,,,115.0,MPCB-KR
14-03-2009,16,21,97.0,,,97.0,MPCB-KR
15-03-2009,18,20,100.0,,,100.0,MPCB-KR
16-03-2009,21,33,146.0,,,131.0,MPCB-KR
17-03-2009,26,31,155.0,,,137.0,MPCB-KR
18-03-2009,26,20,163.0,,,142.0,MPCB-KR
19-03-2009,23,21,146.0,,,131.0,MPCB-KR
20-03-2009,19,22,101.0,,,101.0,MPCB-KR
23-03-2009,23,19,153.0,,,135.0,MPCB-KR
24-03-2009,23,19,173.0,,,149.0,MPCB-KR
